Episode,Score,MaxTile,Steps,Time
0,2132,256,179,1.41
1,1272,128,131,2.59
2,480,64,69,1.35
3,880,64,103,2.10
4,1868,128,177,3.58
5,1280,128,131,2.64
6,1092,128,119,2.43
7,2056,128,194,4.01
8,804,64,103,2.12
9,1348,128,139,2.97
10,484,32,78,1.60
11,632,64,88,1.82
12,1232,128,127,2.76
13,2376,128,221,4.63
14,884,64,107,2.30
15,2324,256,194,3.98
16,2684,256,232,4.90
17,1352,128,140,2.96
18,1732,128,177,3.64
19,596,64,83,1.70
20,1560,128,165,3.47
21,3108,256,256,5.46
22,280,32,51,1.04
23,884,64,111,2.23
24,1188,128,120,2.42
25,528,64,73,1.59
26,1040,64,128,2.71
27,1336,128,139,2.86
28,2968,256,251,5.26
29,1388,128,141,2.96
30,1172,128,126,2.66
31,1784,128,185,3.89
32,1900,128,185,3.71
33,408,32,66,1.38
34,1180,64,141,3.05
35,352,32,65,1.32
36,1488,128,156,3.20
37,1088,128,115,2.43
38,1396,128,143,2.92
39,364,32,63,1.30
40,1384,128,139,2.89
41,1964,128,204,4.18
42,588,64,82,1.76
43,1552,64,170,3.41
44,460,64,64,1.31
45,1264,128,139,2.89
46,1192,128,130,2.63
47,660,64,91,2.00
48,404,32,70,1.46
49,1232,128,136,2.80
50,2256,256,193,3.99
51,1384,128,142,2.94
52,1388,128,147,3.04
53,1480,128,158,3.28
54,564,32,83,1.73
55,1216,128,130,2.83
56,676,32,97,1.96
57,1096,128,121,2.51
58,1084,128,120,2.54
59,1496,128,157,3.24
60,732,64,99,2.12
61,884,64,107,2.32
62,1272,128,134,2.77
63,2452,128,229,4.81
64,2216,256,190,3.90
65,1188,128,129,2.72
66,660,64,87,1.82
67,1328,128,139,2.93
68,1192,64,129,2.69
69,456,32,78,1.58
70,1364,128,142,3.04
71,624,64,80,1.65
72,6328,512,424,8.78
73,1220,64,137,2.72
74,1520,128,151,3.11
75,1012,64,121,2.41
76,1360,128,140,3.01
77,564,32,85,1.72
78,1336,128,147,3.09
79,1640,128,166,3.61
80,2032,128,205,4.34
81,1100,128,117,2.43
82,628,64,86,1.75
83,1596,128,163,3.48
84,496,32,74,1.47
85,2820,256,241,4.95
86,2172,128,204,4.25
87,768,64,98,2.04
88,1032,64,123,2.47
89,1536,128,157,3.17
90,696,64,92,1.98
91,824,64,107,2.23
92,760,64,98,2.04
93,1368,128,143,3.08
94,1528,128,156,3.17
95,604,64,81,1.76
96,1028,128,108,2.23
97,1300,128,132,2.74
98,1096,128,115,2.44
99,1636,128,169,3.50
100,2132,128,204,4.42
101,1640,128,166,3.56
102,196,16,44,0.92
103,2808,256,238,4.90
104,928,128,96,1.97
105,1132,64,134,2.76
106,608,64,82,1.69
107,1388,128,148,3.13
108,460,32,74,1.65
109,876,64,104,2.13
110,556,64,81,1.68
111,848,64,112,2.33
112,1296,128,140,2.84
113,2592,256,221,4.71
114,672,32,96,1.95
115,1364,128,139,2.90
116,536,64,74,1.61
117,2584,256,225,4.69
118,2180,128,205,4.28
119,564,64,77,1.60
120,752,64,100,2.15
121,1004,128,106,2.30
122,1768,128,181,3.83
123,760,64,102,2.19
124,1272,64,145,3.03
125,508,32,77,1.60
126,956,64,115,2.55
127,1760,128,177,3.73
128,1208,64,141,2.95
129,904,64,111,2.25
130,644,64,91,1.89
131,3116,256,259,5.51
132,496,32,77,1.59
133,352,32,63,1.36
134,3244,256,271,5.77
135,2288,128,215,4.50
136,3428,256,288,6.13
137,1640,128,166,3.42
138,2576,256,211,4.46
139,3140,256,260,5.43
140,3012,256,250,5.33
141,900,64,108,2.30
142,1148,64,133,2.75
143,1324,128,133,2.97
144,2268,256,195,4.06
145,3112,256,262,5.69
146,612,64,84,1.74
147,1144,128,123,2.69
148,892,64,117,2.47
149,1552,128,156,3.42
150,1932,128,181,3.76
151,1116,64,131,2.92
152,1432,128,156,3.26
153,1008,64,121,2.57
154,1264,128,134,2.85
155,936,64,122,2.52
156,516,32,84,1.79
157,1616,128,162,3.47
158,1684,128,167,3.44
159,888,64,103,2.18
160,172,16,42,0.88
161,868,64,103,2.14
162,336,32,59,1.25
163,1856,128,187,4.05
164,640,64,89,1.85
165,1032,64,125,2.66
166,1152,128,126,2.60
167,2432,256,209,4.35
168,808,64,100,2.11
169,2652,256,224,4.86
170,1748,128,178,3.69
171,2524,256,212,4.47
172,2468,128,232,4.96
173,1672,128,170,3.51
174,692,64,90,1.85
175,956,64,125,2.61
176,1396,128,149,3.02
177,552,32,82,1.75
178,572,64,77,1.67
179,1660,128,167,3.55
180,1128,64,137,2.99
181,1332,128,138,2.85
182,1560,128,165,3.53
183,1636,128,175,3.69
184,344,32,58,1.17
185,996,64,122,2.55
186,736,64,97,2.04
187,1972,128,184,3.83
188,460,64,66,1.44
189,1304,128,142,2.97
190,1836,128,187,4.01
191,428,32,69,1.47
192,1896,128,190,4.01
193,1832,128,193,4.11
194,684,64,92,1.93
195,520,64,76,1.64
196,892,64,109,2.33
197,580,64,79,1.69
198,1200,128,128,2.74
199,3280,256,276,5.70
200,1484,128,156,3.40
201,1048,64,126,2.66
202,1124,64,133,2.91
203,1848,128,190,3.99
204,1708,128,175,3.71
205,1020,64,124,2.53
206,1128,64,130,2.79
207,952,64,118,2.56
